Time,Number of players,Total bets,Multiplier(Crash),Total gains,L
0:54,9507,3482174.54 LKR,3.9,6013863.07 LKR,2264200
0:54,9925,3349554.66 LKR,1.18,0 LKR,2264213
0:55,7683,2545334.08 LKR,1.64,272987.72 LKR,2264224
0:55,9068,3817966.68 LKR,2.32,2797937.76 LKR,2264236
0:55,10421,3608406.17 LKR,1.93,927708.89 LKR,2264244
0:56,9937,4128307.42 LKR,1.19,0 LKR,2264256
0:56,9239,2885219.95 LKR,1.35,141838 LKR,2264267
0:56,8656,3365761.14 LKR,1.25,0 LKR,2264276
0:57,8559,3564844.81 LKR,1.56,0 LKR,2264285
0:57,8603,4155440.71 LKR,1.32,0 LKR,2264295
0:57,7957,3542252.02 LKR,2.13,590562.14 LKR,2264304
0:58,9238,4710480.53 LKR,1.34,0 LKR,2264315
0:58,8178,4383203 LKR,23.15,16143742.84 LKR,2264325
0:59,10042,4383043.33 LKR,4.58,8010616.16 LKR,2264344
0:59,9840,3858139.7 LKR,1.07,0 LKR,2264355
1:00,7802,3787752.84 LKR,1.62,882945.77 LKR,2264363
1:00,8539,3894559.14 LKR,3.79,5581669.96 LKR,2264373
1:00,10228,4216984.21 LKR,2.01,1294178.03 LKR,2264387
1:01,9308,3902436.86 LKR,5.76,8322928.86 LKR,2264400
1:01,10050,4659853.19 LKR,1.52,484453.09 LKR,2264414
1:02,9091,4702675.78 LKR,2.11,974104.72 LKR,2264422
1:02,9818,4749029.35 LKR,1.54,517753.74 LKR,2264436
1:02,9271,4210874.41 LKR,2.01,1780308.6 LKR,2264447
1:03,9381,4165147.47 LKR,1.67,603608.87 LKR,2264456
1:03,8878,4543543.67 LKR,1.32,279964.58 LKR,2264469
1:03,7963,3602545.74 LKR,1.53,247882.04 LKR,2264477
1:04,8067,4026779.75 LKR,2.5,1105066.72 LKR,2264489
1:04,8891,4589177.59 LKR,19.88,16618038.27 LKR,2264500
1:05,9341,3588845.5 LKR,2.96,3674517.08 LKR,2264521
1:05,8665,3094149.34 LKR,1.24,133872.42 LKR,2264534
1:05,7116,2885763.43 LKR,1.78,315255.81 LKR,2264544
1:06,7909,4233659.78 LKR,2.55,3406079.6 LKR,2264556
1:06,8766,3692360.98 LKR,2.33,1605877.49 LKR,2264567
1:07,8964,3714904.15 LKR,1.9,1096811.2 LKR,2264576
1:07,8401,3916606.9 LKR,1.73,664390.99 LKR,2264588
1:07,8148,3737472.63 LKR,1.79,608789.53 LKR,2264595
1:07,8219,3918836.38 LKR,1.01,0 LKR,2264605
1:08,7788,3683148.05 LKR,6.17,7977656.13 LKR,2264615
1:08,9406,3382502.51 LKR,1.46,244356.01 LKR,2264626
1:09,8051,3225937.31 LKR,1.13,0 LKR,2264637
1:09,6913,3312872.1 LKR,2.5,1503661.75 LKR,2264647
1:09,8335,3801584.66 LKR,1.12,0 LKR,2264660
1:10,7200,3704784.92 LKR,1.63,699105.25 LKR,2264668
1:10,6727,3586246.97 LKR,2.24,2106452.97 LKR,2264677
1:10,7758,3332145.09 LKR,1.12,122244.63 LKR,2264689
1:11,6788,3139479.06 LKR,3.43,3114388.77 LKR,2264697
1:11,7995,3605956.41 LKR,2.43,2261350.48 LKR,2264712
1:11,7732,3207425.5 LKR,1.69,1029238.53 LKR,2264721
1:12,6951,3377280.62 LKR,1.13,102334.27 LKR,2264733
1:12,6188,2289672.99 LKR,1.62,318766.05 LKR,2264741
1:12,6474,3051853.32 LKR,1.53,493899.39 LKR,2264755
1:13,6298,3458325.29 LKR,24.04,11899896 LKR,2264767
1:14,7573,3081038.53 LKR,3.31,3614903.36 LKR,2264787
1:14,7118,2841158.44 LKR,1,0 LKR,2264800
1:14,6521,2801553.5 LKR,9.07,7587566.1 LKR,2264809
1:15,7633,3490056.52 LKR,1.2,113295.41 LKR,2264825
1:15,6639,2660933.94 LKR,2.53,1901537.24 LKR,2264833
1:16,7450,3336979.62 LKR,30.3,11282546.32 LKR,2264846
1:16,8087,3199259.86 LKR,1.07,0 LKR,2264872
1:17,6586,2718066.56 LKR,4.61,4181712.74 LKR,2264880
1:17,8030,3500456.16 LKR,1.49,220629.66 LKR,2264894
1:17,7516,2923520.81 LKR,1.64,567617.91 LKR,2264904
1:18,7764,3668164.9 LKR,1.08,0 LKR,2264915
1:18,7210,3272887.09 LKR,1.18,0 LKR,2264923
1:18,6484,2937962.42 LKR,1.73,593937.31 LKR,2264931
1:19,7182,3321254.85 LKR,2.84,3470301.41 LKR,2264942
1:19,8088,3241855.82 LKR,4.78,4906598.3 LKR,2264952
1:20,8104,3027291.17 LKR,3.98,4162968.78 LKR,2264962
1:20,7988,3260980.38 LKR,2.76,2770237.01 LKR,2264979
1:20,7531,3447474.21 LKR,3.87,4497278.2 LKR,2264991
1:21,8306,3577739.75 LKR,17.72,14378133.14 LKR,2265005
1:22,8596,3703629.43 LKR,10.32,10396769.45 LKR,2265026
1:22,8540,3497784.2 LKR,1.92,926271.39 LKR,2265041
1:23,7046,3240078.97 LKR,10.41,8219839.19 LKR,2265051
1:23,8829,3635172.25 LKR,4.83,6887591.71 LKR,2265068
1:23,8547,3583979.78 LKR,2.72,2515360.38 LKR,2265080
1:24,8383,3373960.99 LKR,1.2,0 LKR,2265092
1:24,6800,2455967.84 LKR,2.86,2047510.13 LKR,2265103
1:25,9242,3672292.33 LKR,1.8,1271890.34 LKR,2265115
1:25,8819,3226817.57 LKR,1.61,540278.07 LKR,2265126
1:25,8287,4182689.17 LKR,3.82,6139903.47 LKR,2265130
1:26,9621,3635961.37 LKR,12.52,11800501.34 LKR,2265144
1:26,9531,3611961.66 LKR,1.13,0 LKR,2265162
1:26,7759,2879476.74 LKR,1.53,189885.61 LKR,2265168
1:27,8409,3942445.49 LKR,1.37,342748.67 LKR,2265177
1:27,8400,3430928.95 LKR,1.68,1017265.41 LKR,2265189
1:27,9147,4846872.42 LKR,2.56,3433947.81 LKR,2265201
1:28,9633,3751939.09 LKR,1.05,0 LKR,2265212
1:28,8495,4014357.94 LKR,1.8,287565.91 LKR,2265222
1:28,8384,3956398.05 LKR,2.14,1530468.51 LKR,2265233
1:29,8246,3495677.45 LKR,1.1,0 LKR,2265244
1:29,7040,3785744.75 LKR,1.16,0 LKR,2265252
1:29,6310,3731872.89 LKR,1.4,329590.42 LKR,2265260
1:30,6395,3660458.63 LKR,1.62,861717.7 LKR,2265272
1:30,6644,3854483.27 LKR,1.54,268983.82 LKR,2265283
1:30,6174,4201101.7 LKR,1.04,0 LKR,2265294
1:31,5425,3850520.05 LKR,2.3,1588849.4 LKR,2265303
1:31,6390,3230970.11 LKR,6.78,6804822.1 LKR,2265315
1:32,6788,2683253.15 LKR,1.1,0 LKR,2265326
1:32,5501,2586885.69 LKR,2.25,1473581.4 LKR,2265338
1:32,6310,2827749.24 LKR,1.88,1100498.46 LKR,2265351
1:33,5996,2987667.07 LKR,2.06,1027204.98 LKR,2265360
1:33,6176,2997545.96 LKR,1.04,0 LKR,2265371
1:34,5274,2905633.65 LKR,12.82,10505334.69 LKR,2265381
1:34,6529,3208432.6 LKR,1.17,39941.69 LKR,2265400
1:34,5602,3186420 LKR,1.38,256107.32 LKR,2265407
1:35,5480,3169311.31 LKR,25.88,10267608.7 LKR,2265418
1:35,6373,2724270.62 LKR,2.87,1975618.48 LKR,2265441
1:36,5912,3418905.61 LKR,1.17,0 LKR,2265454
1:36,5217,2567797.31 LKR,1.12,0 LKR,2265462
1:36,5281,2611216.88 LKR,1.24,51529.84 LKR,2265474
1:37,5156,3133266.45 LKR,2.92,3629067.7 LKR,2265484
1:37,6332,3316145.8 LKR,1.28,119935 LKR,2265495
1:37,5436,2905256.32 LKR,2.24,1488599.42 LKR,2265506
1:38,5714,2791653.09 LKR,1.04,0 LKR,2265516
1:38,5214,2367290.34 LKR,1.9,1133922.96 LKR,2265527
1:39,5627,3631206.9 LKR,14.8,10927979.7 LKR,2265538
1:39,5854,3245160.83 LKR,1.24,76175.68 LKR,2265552
1:39,4626,3271224.59 LKR,1.51,438056.29 LKR,2265564
1:40,4873,2577078.94 LKR,1.29,121044.54 LKR,2265574
1:40,4920,2991258.43 LKR,1.45,322023.8 LKR,2265584
1:40,4921,4737080.49 LKR,3.83,8168939.13 LKR,2265595
1:41,5707,2618522.35 LKR,1.18,33686.6 LKR,2265607
1:41,4660,2302553.13 LKR,1.81,572967.7 LKR,2265618
1:41,5415,2510871.76 LKR,3.56,3620251.22 LKR,2265629
1:42,5640,2740444.86 LKR,12.55,7680036.75 LKR,2265640
1:42,5769,2206754.75 LKR,1.48,261939.56 LKR,2265657
1:43,4954,1950559.77 LKR,1.87,471380.89 LKR,2265668
1:43,5665,2982427.89 LKR,1.03,0 LKR,2265679
1:43,5335,2592833.29 LKR,1.92,1283161.39 LKR,2265689
1:44,6092,3213523.07 LKR,2.6,3305099.19 LKR,2265702
1:44,6415,2926541.18 LKR,1.49,270311.56 LKR,2265711
1:44,5600,2757280.27 LKR,1.56,500749.44 LKR,2265722
1:45,5300,2975729.27 LKR,1.37,248619.08 LKR,2265733
1:45,4804,2721641.66 LKR,3.03,3262891.14 LKR,2265743
1:45,5808,2966862.42 LKR,1,0 LKR,2265756
1:46,5453,3046828.55 LKR,23.43,8868468.67 LKR,2265764
1:46,5754,2386814.32 LKR,1.31,72801.15 LKR,2265785
1:47,4819,2518399.31 LKR,10.59,5608030.92 LKR,2265796
1:47,5627,2193142.57 LKR,1.49,291682.12 LKR,2265812
1:48,5212,2022373.84 LKR,1.5,229270.7 LKR,2265822
1:48,5311,2121990.44 LKR,1.07,0 LKR,2265833
1:48,5229,2435019.45 LKR,3.24,2987849.47 LKR,2265843
1:49,6160,2450815.29 LKR,26.58,8126885.01 LKR,2265858
1:50,5829,2483834.06 LKR,1.58,830249.35 LKR,2265880
1:50,5220,2427362.53 LKR,1.64,918488.11 LKR,2265891
1:50,5153,1830861.48 LKR,1.51,197936.1 LKR,2265900
1:51,5470,2599215.85 LKR,1.51,516409.38 LKR,2265910
1:51,5829,2353424.37 LKR,6.74,4916096.18 LKR,2265920
1:52,6803,2608891.02 LKR,5.24,4462557.62 LKR,2265934
1:52,6407,2620507.86 LKR,1.71,457750.71 LKR,2265949
1:53,5545,2239339.63 LKR,24.16,7900035.14 LKR,2265959
1:53,6481,2447121.09 LKR,1,0 LKR,2265980
1:53,6083,2196362.54 LKR,1.58,212273.17 LKR,2265987
1:54,5850,2367423.22 LKR,1.17,0 LKR,2265997
1:54,5772,2842830.57 LKR,28.79,11306868.64 LKR,2266008
1:55,6777,3135707.55 LKR,1.39,455461.93 LKR,2266032
1:55,5708,1910556.78 LKR,1.03,0 LKR,2266042
1:55,5747,2468566.22 LKR,2.57,2266145.62 LKR,2266051
1:56,7334,3462914.97 LKR,6.18,6999718.73 LKR,2266063
1:56,7324,3363616.24 LKR,5.09,6521949.85 LKR,2266077
1:57,7027,2490218.05 LKR,3.99,2872321.44 LKR,2266091
1:57,7129,3587333.09 LKR,1.42,387768.02 LKR,2266104
1:58,6017,2267697.96 LKR,6.83,4908146.12 LKR,2266116
1:58,7605,3327881.77 LKR,1,0 LKR,2266128
1:58,7043,3100631.21 LKR,2.97,2300084.12 LKR,2266138
1:59,8220,3528650.41 LKR,1.16,112644.73 LKR,2266149
1:59,7242,3386366.35 LKR,4.78,5871044.73 LKR,2266157
2:00,8053,3247575.63 LKR,9.19,8115406.56 LKR,2266174
2:00,7436,3096382.95 LKR,1.27,87538.58 LKR,2266189
2:00,6548,2552470.95 LKR,8.66,5050054.18 LKR,2266198
2:01,7564,2852621.65 LKR,2.16,1512455.84 LKR,2266219
2:01,7534,3547536.44 LKR,4.02,5348357.17 LKR,2266231
2:02,7976,3017764.1 LKR,2.15,1097409.32 LKR,2266241
2:02,7805,2937466.11 LKR,2.28,1801130.07 LKR,2266254
2:02,8137,3373648.21 LKR,1.58,916438.25 LKR,2266266
2:03,7670,3171046.34 LKR,1.44,204990.56 LKR,2266278
2:03,7516,3301864.41 LKR,5.78,7321181.64 LKR,2266286
2:04,8961,3559367.47 LKR,4.49,5896285.49 LKR,2266304
2:04,8306,3320829.71 LKR,1.05,0 LKR,2266317
2:05,7417,3077857.67 LKR,22.64,10057326.87 LKR,2266325
2:05,8167,3126208.6 LKR,12.36,9731302.5 LKR,2266346
2:06,7855,3051065.9 LKR,1.41,170116.65 LKR,2266364
2:06,6639,4251397.27 LKR,5.04,6150814.78 LKR,2266376
2:07,8488,3579593.42 LKR,9.38,8352514.47 LKR,2266391
2:07,8101,3487404.56 LKR,2.43,1224849.77 LKR,2266408
2:07,7809,2973126.07 LKR,1.35,260404.9 LKR,2266420
2:08,7344,2697896.85 LKR,1.48,280576.09 LKR,2266430
2:08,7940,3783911.43 LKR,6.17,7799802.84 LKR,2266442
2:09,9857,3513958.38 LKR,7.46,9166268.92 LKR,2266459
2:09,8976,3088505.4 LKR,1.96,843054.46 LKR,2266475
2:09,7958,3125819.24 LKR,1,0 LKR,2266485
2:10,8915,3437249.07 LKR,2.22,2068886.32 LKR,2266494
2:10,9808,4289032.23 LKR,20.01,14480871.93 LKR,2266507
2:11,9818,4255272.25 LKR,1.04,0 LKR,2266528
2:11,8131,4094690.04 LKR,2.33,1604441.89 LKR,2266538
2:12,9833,4542969.86 LKR,7.36,9882619.69 LKR,2266551
2:12,10167,4105363.86 LKR,4.44,5519860.08 LKR,2266565
2:12,9646,4557259.37 LKR,1.36,541819.77 LKR,2266579
2:13,8281,4028470.11 LKR,2.53,1398954.16 LKR,2266589
2:13,10233,4673029.43 LKR,2.47,1789381.13 LKR,2266600
2:13,10502,5206663.83 LKR,1.44,334491.6 LKR,2266611
2:14,9672,4338865.74 LKR,1,0 LKR,2266620
2:14,10035,5257303.26 LKR,1.3,183872.53 LKR,2266629
2:14,8908,4451708.33 LKR,2.96,3394359.5 LKR,2266636
2:15,10621,5428039.36 LKR,2.45,3968470.11 LKR,2266649
2:15,10098,4780734.89 LKR,2.59,3821691.47 LKR,2266659
2:16,9787,4617215.76 LKR,1.88,1146003.58 LKR,2266671
2:16,8865,3587028.49 LKR,8.49,10501190.51 LKR,2266680
2:17,9905,3961205.62 LKR,4.55,8489630.13 LKR,2266701
2:17,9182,3394478.5 LKR,2.36,2097662.47 LKR,2266712
2:18,8404,3457893.38 LKR,21.94,9815576.87 LKR,2266724
2:18,9050,3445524.21 LKR,1.41,202379.38 LKR,2266743
2:19,7895,3173221.34 LKR,11.56,9572970.15 LKR,2266753
2:19,9501,3890608.7 LKR,1.78,423184.93 LKR,2266772
2:19,9006,3383816.33 LKR,1.12,31839.17 LKR,2266782
2:20,8500,4466525.94 LKR,1.09,219487.14 LKR,2266794
2:20,8186,3449583.75 LKR,1.11,0 LKR,2266801
2:20,8001,3234210.01 LKR,3.51,4230128.75 LKR,2266811
2:21,10424,4886441.98 LKR,1.03,0 LKR,2266824
2:21,9251,5024159.4 LKR,1.06,0 LKR,2266833
2:21,8137,5886616.99 LKR,1.29,1051632.91 LKR,2266845
2:22,8024,5447123.64 LKR,26.4,15954975.86 LKR,2266852
2:23,9293,4704804.36 LKR,10.69,14224594.29 LKR,2266876
2:23,8833,4317622.22 LKR,1.61,649849.1 LKR,2266892
2:23,7098,3286512.97 LKR,1,0 LKR,2266903
2:23,8063,3846309.46 LKR,2.73,2826702.3 LKR,2266912
2:24,9709,4900559.17 LKR,1.76,1284626.69 LKR,2266923
2:24,9014,4477097.71 LKR,1.48,320886.28 LKR,2266934
2:24,8303,4082199.75 LKR,1.21,126028.84 LKR,2266942
2:25,7704,4058883.99 LKR,3.9,6736424.94 LKR,2266951
2:25,9374,5833984.44 LKR,2.32,2290996.82 LKR,2266964
2:26,8772,4744877.91 LKR,1.74,733256.98 LKR,2266976
2:26,8089,4760259.3 LKR,1.05,0 LKR,2266988
2:26,7518,3993458.56 LKR,2.87,2720801.95 LKR,2266994
2:27,9028,4258188.17 LKR,6.4,10762570.21 LKR,2267005
2:27,8941,3892423.78 LKR,1.41,182871.17 LKR,2267023
2:27,7759,3403176.61 LKR,1.38,222612.97 LKR,2267033
2:28,7822,3665237.1 LKR,1.53,252646.5 LKR,2267039
2:28,8044,4709054.93 LKR,2.58,4090624.63 LKR,2267049
2:29,9346,6649311.09 LKR,1.31,76170.07 LKR,2267063
2:29,7739,4076220.23 LKR,1.12,56974.63 LKR,2267075
2:29,6953,4572597.93 LKR,1.02,0 LKR,2267082
2:30,6620,3773617.3 LKR,15.81,13833791.73 LKR,2267091
2:30,8261,3892481.73 LKR,1.19,75062.35 LKR,2267111
2:30,6835,3985945.76 LKR,1.27,91041.34 LKR,2267121
2:31,6054,3203801.88 LKR,2.55,2534585.8 LKR,2267132
2:31,7502,3471701.03 LKR,1.64,494816.51 LKR,2267144
2:31,6732,3502205.88 LKR,1.83,1111459.75 LKR,2267156
2:32,6823,3274890.88 LKR,34.73,12154407.61 LKR,2267167
2:33,7827,3503764.49 LKR,1.57,715601.32 LKR,2267191
2:33,6324,3044542.69 LKR,1.07,0 LKR,2267198
2:33,5834,3048202.52 LKR,1.19,41525.29 LKR,2267208
2:34,5996,3168415.81 LKR,1.84,518292.69 LKR,2267218
2:34,7118,3702725.32 LKR,8.01,9118152.55 LKR,2267230
2:34,7860,4174699.78 LKR,1.55,46905.75 LKR,2267244
2:35,6399,3868213.88 LKR,2.25,1533158.26 LKR,2267252
2:35,7292,3952458.87 LKR,1.24,37643.68 LKR,2267265
2:36,6471,3415021.18 LKR,13.78,11751358.31 LKR,2267277
2:36,7264,2703639.36 LKR,2.05,955916.35 LKR,2267295
2:37,6795,2981715.32 LKR,1.77,960627.61 LKR,2267305
2:37,6670,2811812.61 LKR,1.96,1337984.89 LKR,2267316
2:37,7737,3642179.72 LKR,7.88,9841400.07 LKR,2267326
2:38,7887,3035161.7 LKR,2.2,1313043.98 LKR,2267344
2:38,7053,2365280.19 LKR,8.64,6153962.44 LKR,2267354
2:39,8025,2981648.63 LKR,1.08,0 LKR,2267371
2:39,6634,2540485.73 LKR,30.59,9686645.8 LKR,2267378
2:40,7937,3231787.37 LKR,2.5,1518860.02 LKR,2267403
12:06,4799,2038420.17 LKR,1.44,160499.89 LKR,2284388
12:07,5141,2216533.94 LKR,1.27,42383.31 LKR,2284399
12:07,5171,2328138.43 LKR,3.97,3324967.48 LKR,2284409
12:08,6756,3123018.01 LKR,3.46,3419193.94 LKR,2284422
12:08,6438,2362700.83 LKR,6.51,6708133.12 LKR,2284433
12:08,6457,2560769.53 LKR,1.52,752366.68 LKR,2284450
12:09,5359,2871514.36 LKR,1.78,842954.69 LKR,2284460
12:09,6044,3502130.78 LKR,1.31,0 LKR,2284470
12:09,6059,2752355.71 LKR,2.41,926719.28 LKR,2284480
12:10,6920,3332273.8 LKR,1.01,0 LKR,2284494
12:10,6531,2539568.49 LKR,2.92,1929865.24 LKR,2284503
12:11,7000,2586988.98 LKR,1.98,752118.44 LKR,2284512
12:11,6411,2502927.85 LKR,13.25,8440304.03 LKR,2284523
12:12,6834,2234823.38 LKR,6.19,5093461.06 LKR,2284540
12:12,6290,2013640.24 LKR,18.56,7142353.74 LKR,2284556
12:13,6548,2617463.57 LKR,1.2,134941.24 LKR,2284577
12:13,4940,1690902.08 LKR,1.25,140966.59 LKR,2284583
12:13,5356,2174850.5 LKR,4.94,3760544.96 LKR,2284592
12:14,7373,2484842.29 LKR,2.76,1909733.24 LKR,2284609
12:14,6966,2530472.14 LKR,1.11,0 LKR,2284621
12:14,6300,2233502.18 LKR,1.32,80139.26 LKR,2284630
12:15,6772,2518139.13 LKR,30.6,10091196.53 LKR,2284637
12:16,7592,2651527.55 LKR,1.82,394048.85 LKR,2284660
12:16,6685,4018720.62 LKR,2.19,1167795.6 LKR,2284670
12:16,7289,4263565.46 LKR,3.33,2902800.6 LKR,2284682
12:17,7763,4360047.17 LKR,2.39,1120556 LKR,2284695
12:17,7465,4234120.78 LKR,5.06,4212963.32 LKR,2284703
12:18,8065,4342918.76 LKR,13.05,11290906.13 LKR,2284719
12:18,7649,2414541.74 LKR,1.85,803378.94 LKR,2284737
12:19,6368,2210161.96 LKR,2.2,1074065.57 LKR,2284746
12:19,7664,2835240.26 LKR,1.02,0 LKR,2284757
12:19,7415,2837663.56 LKR,1.48,123051.07 LKR,2284767
12:20,7541,3575020.1 LKR,13.36,11839628.63 LKR,2284778
12:20,8404,2669834.98 LKR,1.16,0 LKR,2284796
12:21,7026,4220909.27 LKR,5.45,5891695.11 LKR,2284806
12:21,8525,4299268.19 LKR,13.37,9423657.56 LKR,2284820
12:22,7594,2588317.5 LKR,23.19,10979524.08 LKR,2284838
12:22,7319,3213592.81 LKR,1.44,672435.99 LKR,2284857
12:23,5945,3135014.72 LKR,2.85,3045145.34 LKR,2284868
12:23,7841,3007644.09 LKR,21.71,10446216.14 LKR,2284879
12:24,7994,3116063.73 LKR,22.95,11868759.72 LKR,2284901
12:25,7978,2899569.5 LKR,21.6,13702395.21 LKR,2284924
12:25,8464,3122762.37 LKR,5.44,5609183.3 LKR,2284947
12:26,8124,3227065.78 LKR,11.38,11555322.07 LKR,2284962
12:26,9417,3694980.26 LKR,1,0 LKR,2284979
12:27,7016,2352338.85 LKR,8.11,6163986.7 LKR,2284987
12:27,9717,3866028.33 LKR,1.82,640180.74 LKR,2285002
12:28,8683,3556100.9 LKR,24.49,12455099.91 LKR,2285014
12:28,9729,4020734.3 LKR,2.2,1138442 LKR,2285040
12:29,9120,3642215.12 LKR,1.08,41154.19 LKR,2285049
12:29,8157,3228310.72 LKR,1.17,0 LKR,2285056
12:29,7675,4025768.18 LKR,2.19,1943852.69 LKR,2285066
12:30,9409,4685921.96 LKR,1.91,1087236.43 LKR,2285078
12:30,9109,5017864.17 LKR,2.41,1543137.2 LKR,2285090
12:31,9310,4909452.13 LKR,5.25,10600826.16 LKR,2285101
12:31,9347,4079409.6 LKR,4.08,6674194.75 LKR,2285116
12:31,9343,5382212.68 LKR,1.2,0 LKR,2285128
12:32,7737,4765347.94 LKR,1.07,0 LKR,2285138
12:32,7604,6034491.82 LKR,1.33,155594.11 LKR,2285145
12:32,7811,6405133.53 LKR,1.28,0 LKR,2285152
12:32,7563,5530032.05 LKR,1.01,0 LKR,2285161
12:33,8017,5822526.84 LKR,4.14,6770079.67 LKR,2285171
12:33,9591,4762568.03 LKR,1.46,493715.46 LKR,2285187
12:34,8318,4813485.67 LKR,4.02,7971727.57 LKR,2285196
12:34,8567,4705367.15 LKR,1.01,0 LKR,2285211
12:34,7959,4761957 LKR,1.79,887398.68 LKR,2285216
12:35,7941,6288132.99 LKR,1.94,3095632.18 LKR,2285228
12:35,8194,8052523.24 LKR,3.11,9604717.42 LKR,2285237
12:36,8637,4552708.38 LKR,12.35,16391156.1 LKR,2285248
12:36,7884,4127876.17 LKR,20.38,15043488.3 LKR,2285266
12:37,9493,4714832.26 LKR,20.51,18080927.56 LKR,2285291
12:37,10126,5549005.65 LKR,1.01,0 LKR,2285311
12:38,8902,5067417.29 LKR,5.51,10714052.56 LKR,2285321
12:38,10266,5523501.66 LKR,1.18,385903.09 LKR,2285333
12:39,9735,5590698.09 LKR,5,11113634.02 LKR,2285341
12:39,10489,5898346.51 LKR,10.76,18415845.15 LKR,2285355
12:40,10634,5711401.48 LKR,5.56,11295059.95 LKR,2285374
12:40,10027,5589157.64 LKR,1.57,420005.3 LKR,2285387
12:41,8984,5082379.69 LKR,2.38,1400106.38 LKR,2285399
12:41,10836,6061939.09 LKR,2.2,2608882.33 LKR,2285409
12:41,10684,6028813.69 LKR,1.01,0 LKR,2285422
12:42,10898,6437965.04 LKR,15.25,23205943.8 LKR,2285429
12:42,11551,7301043.22 LKR,1.55,1567006.2 LKR,2285445
12:42,10610,6227728.19 LKR,1.44,366031.13 LKR,2285456
12:43,10260,6190645.96 LKR,2.86,5311818.74 LKR,2285468
12:43,11976,6529841.5 LKR,1.22,206380.22 LKR,2285478
12:44,11031,6170712.02 LKR,1.81,392055.86 LKR,2285487
12:44,11669,7000923.9 LKR,2.8,5083095.44 LKR,2285497
12:45,11732,7433984.19 LKR,11.72,21955238.37 LKR,2285509
12:45,11567,5928506.22 LKR,1.49,230645.69 LKR,2285525
12:45,10160,5309404.04 LKR,4.65,10834840.56 LKR,2285536
12:46,11339,6013207.91 LKR,2.44,2449673.28 LKR,2285546
12:46,10823,7025683.6 LKR,1,0 LKR,2285558
12:46,11192,8666528.9 LKR,3.2,9835997.76 LKR,2285568
12:47,12255,8699365.58 LKR,4.33,14096668.86 LKR,2285580
12:47,11705,6823107.09 LKR,3.69,8336347.89 LKR,2285594
12:48,11282,6245070.93 LKR,1.4,289668.3 LKR,2285603
12:48,10050,5322472.16 LKR,32.26,26904219.65 LKR,2285615
12:49,11045,6258666.27 LKR,1,0 LKR,2285643
12:49,10908,6509893.36 LKR,2.58,6425335.99 LKR,2285649
12:49,11553,7417943.82 LKR,1.18,0 LKR,2285664
12:50,11047,7530694.63 LKR,1.95,1170534.34 LKR,2285672
12:50,11924,8548192.86 LKR,1.45,252409.45 LKR,2285683
12:50,11159,8138425.48 LKR,1.86,1228305.61 LKR,2285693
12:51,11867,7857100.08 LKR,1.14,179920.09 LKR,2285702
12:51,10247,6615085.76 LKR,12.21,24273557.33 LKR,2285715
12:52,11220,7044870.73 LKR,1.12,0 LKR,2285730
12:52,10265,5995457.22 LKR,1.9,1394736.64 LKR,2285738
12:53,10676,8637167.02 LKR,5.65,17349652.03 LKR,2285749
12:53,7817,4161393.18 LKR,9.99,10944561.37 LKR,2285772
12:54,8567,4875691.89 LKR,4.19,8547166.14 LKR,2285786
12:54,8115,4202622.46 LKR,1.08,0 LKR,2285799
12:54,7347,3676363.75 LKR,1,0 LKR,2285809
12:55,7879,4187231.89 LKR,3.91,6357083.2 LKR,2285818
12:55,8749,4258690.6 LKR,1.28,0 LKR,2285831
12:56,7999,3513802.94 LKR,1.99,472969.88 LKR,2285840
12:56,8453,3754175.47 LKR,1.68,522312.19 LKR,2285854
12:56,7943,3315499.05 LKR,1.55,195789.68 LKR,2285865
12:57,7808,4416621.59 LKR,2.53,4767608.19 LKR,2285875
12:57,8646,3946803.44 LKR,1.57,302204.16 LKR,2285888
12:57,11126,5964712.66 LKR,1.09,44871.26 LKR,2285902
12:58,9093,4511567.37 LKR,3.93,6029089.13 LKR,2285911
12:58,11230,5878467.58 LKR,1.81,694720.71 LKR,2285927
12:59,10576,4974072.87 LKR,7.42,12055572.41 LKR,2285933
12:59,11154,5583483.71 LKR,1.09,63760.35 LKR,2285948
12:59,10373,5627980.82 LKR,1.97,1776359.59 LKR,2285959
13:00,11216,6333053.31 LKR,20.67,22896639.28 LKR,2285970
13:01,11216,5258101.02 LKR,10.14,19145800.13 LKR,2285990
13:01,10401,5000060.27 LKR,2.96,3727444.9 LKR,2286006
13:01,9671,5288707.66 LKR,3.35,3794508.25 LKR,2286017
13:02,10621,7050603.45 LKR,1.38,886079.83 LKR,2286030
13:02,9065,5514537.25 LKR,1.72,1307349.09 LKR,2286041
13:02,10126,6307581.91 LKR,1.14,0 LKR,2286052
13:03,9749,5788560.9 LKR,3.8,7264786.23 LKR,2286059
13:03,12071,6771051.27 LKR,4.13,10686306.74 LKR,2286076
13:04,11616,6215958.45 LKR,13.49,24471912.37 LKR,2286088
13:04,11172,6009569.36 LKR,1.2,125231.38 LKR,2286106
13:05,9294,5226417.19 LKR,1.23,147586.82 LKR,2286116
13:05,9275,5103530.25 LKR,21.88,20258870.92 LKR,2286125
13:06,11598,6008859.33 LKR,1.13,0 LKR,2286146
13:06,10334,7001253.38 LKR,8.3,21039966.9 LKR,2286142
13:06,13877,8578088.81 LKR,1.61,1023797.9 LKR,2286158
13:06,13009,8326014.86 LKR,2.37,3298658.38 LKR,2286168
